"Network","CS_Coefficient"
"H0_Study1_SUSPECTS_ITA",0.750099960015994
"H1_Study1_SUSPECTS_ITA",0.750099960015994
"H2_Study1_SUSPECTS_ITA",0.750099960015994
"H0_Study1_SUSPECTS_DEU",0.750099641291351
"H1_Study1_SUSPECTS_DEU",0.750099641291351
"H2_Study1_SUSPECTS_DEU",0.750099641291351
"H0_Study1_SUSPECTS_ESP",0.594594594594595
"H1_Study1_SUSPECTS_ESP",0.75
"H2_Study1_SUSPECTS_ESP",0.594594594594595
"H0_Study1_SUSPECTS_SWE",0.75
"H1_Study1_SUSPECTS_SWE",0.75
"H2_Study1_SUSPECTS_SWE",0.75
"H0_Study1_SUSPECTS_POL",0.749900596421471
"H1_Study1_SUSPECTS_POL",0.749900596421471
"H2_Study1_SUSPECTS_POL",0.749900596421471
"H0_Study1_SUSPECTS_FRA",0.749900119856173
"H1_Study1_SUSPECTS_FRA",0.749900119856173
"H2_Study1_SUSPECTS_FRA",0.749900119856173
"H0_Study1_SUSPECTS_GBR",0.749900119856173
"H1_Study1_SUSPECTS_GBR",0.749900119856173
"H2_Study1_SUSPECTS_GBR",0.749900119856173
"H0_Study1_SUSPECTS_USA",0.75
"H1_Study1_SUSPECTS_USA",0.75
"H2_Study1_SUSPECTS_USA",0.75
"H0_Study2_ACTS_USA",0.75
"H1_Study2_ACTS_USA",0.75
"H2_Study2_ACTS_USA",0.75
"H0_Study3_CMQ_Australia",0.282868525896414
"H1_Study3_CMQ_Australia",0.75
"H2_Study3_CMQ_Australia",0.594621513944223
"H0_Study3_CMQ_Brazil",0.438631790744467
"H1_Study3_CMQ_Brazil",0.750503018108652
"H2_Study3_CMQ_Brazil",0.750503018108652
"H0_Study3_CMQ_Canada",0.127551020408163
"H1_Study3_CMQ_Canada",0.75
"H2_Study3_CMQ_Canada",0.75
"H0_Study3_CMQ_Germany",0.360917248255234
"H1_Study3_CMQ_Germany",0.74975074775673
"H2_Study3_CMQ_Germany",0.74975074775673
"H0_Study3_CMQ_Lebanon",0.593993325917686
"H1_Study3_CMQ_Lebanon",0.74972191323693
"H2_Study3_CMQ_Lebanon",0.74972191323693
"H0_Study3_CMQ_Morocco",0.594357976653696
"H1_Study3_CMQ_Morocco",0.75
"H2_Study3_CMQ_Morocco",0.75
"H0_Study3_CMQ_South Africa",0.671763506625892
"H1_Study3_CMQ_South Africa",0.750254841997961
"H2_Study3_CMQ_South Africa",0.750254841997961
"H0_Study3_CMQ_United States",0.671779141104294
"H1_Study3_CMQ_United States",0.750511247443763
"H2_Study3_CMQ_United States",0.750511247443763
